month,requests,successful_requests,failures,failure_rate_percent,subsetted_data_gb,peak_concurrency,dkrz_requests,dkrz_successful_requests,dkrz_failures,dkrz_peak_concurrency,dkrz_subsetted_data_gb,ipsl_requests,ipsl_successful_requests,ipsl_failures,ipsl_peak_concurrency,ipsl_subsetted_data_gb
2026-01,117169,112974,4195,3.580,15117.26,17,77241,74623,2618,17,9943.06,39928,38351,1577,13,5174.20
2026-02,132661,126677,5984,4.511,8468.70,16,78073,73860,4213,14,5274.97,54588,52817,1771,16,3193.73
2026-03,159171,155990,3181,1.998,6080.64,19,105438,103261,2177,19,3936.21,53733,52729,1004,14,2144.43
2026-04,304340,290858,13482,4.430,10014.30,18,185177,176217,8960,18,6328.15,119163,114641,4522,17,3686.15
2026-05,106233,102990,3243,3.053,8120.13,16,60407,58724,1683,14,4822.00,45826,44266,1560,16,3298.13
2026-06,151399,147569,3830,2.530,7393.24,21,58690,57054,1636,21,2964.67,92709,90515,2194,18,4428.57
