date,requests,downloads,downloads_size
2025-07-01T00:00:00,151566,145893,10043197
2025-08-01T00:00:00,173857,170027,12352154
2025-09-01T00:00:00,123942,116502,14063657
2025-10-01T00:00:00,89066,62369,4451553
2025-11-01T00:00:00,88260,82112,11226757
2025-12-01T00:00:00,112337,107693,10224271
2026-01-01T00:00:00,117169,114062,15480074
2026-02-01T00:00:00,132661,130505,8671949
2026-03-01T00:00:00,159171,152595,6226565
