month,requests,successful_requests,failures,failure_rate_percent,subsetted_data_gb,peak_concurrency,dkrz_requests,dkrz_successful_requests,dkrz_failures,dkrz_peak_concurrency,dkrz_subsetted_data_gb,ipsl_requests,ipsl_successful_requests,ipsl_failures,ipsl_peak_concurrency,ipsl_subsetted_data_gb
2023-01,62725,46435,16290,25.971,9629.65,28,44912,33228,11684,28,4290.65,17813,13207,4606,14,5339.00
2023-02,56276,51496,4780,8.494,9251.17,34,29179,26610,2569,20,5251.17,27097,24886,2211,34,4000.00
2023-03,47836,40940,6896,14.416,8149.60,26,24781,21590,3191,10,5809.60,23055,19350,3705,26,2340.00
2023-04,57452,53433,4019,6.995,9745.31,37,29195,27024,2171,17,4657.48,28257,26409,1848,37,5087.83
2023-05,36552,33426,3126,8.552,6804.83,17,18547,16842,1705,9,3351.54,18005,16584,1421,17,3453.29
2023-06,61354,58042,3312,5.398,6576.20,40,32694,31076,1618,23,3417.73,28660,26966,1694,40,3158.47
2023-07,108226,96200,12026,11.112,5352.65,17,67855,60239,7616,9,3030.36,40371,35961,4410,17,2322.29
2023-08,40561,36482,4079,10.056,6743.27,17,28856,25932,2924,11,4886.93,11705,10550,1155,17,1856.34
2023-09,44610,41386,3224,7.227,3511.21,31,32244,29982,2262,31,2603.52,12366,11404,962,18,907.69
2023-10,103316,94639,8677,8.399,6605.44,31,80056,73642,6414,14,6105.44,23260,20997,2263,31,500.00
2023-11,47544,43249,4295,9.034,5022.47,22,42592,38643,3949,15,4747.98,4952,4606,346,22,274.49
2023-12,71980,68977,3003,4.172,4573.73,20,55543,53273,2270,11,3946.25,16437,15704,733,20,627.48
