month,requests,successful_requests,failures,failure_rate_percent,subsetted_data_gb,peak_concurrency,dkrz_requests,dkrz_successful_requests,dkrz_failures,dkrz_peak_concurrency,dkrz_subsetted_data_gb,ipsl_requests,ipsl_successful_requests,ipsl_failures,ipsl_peak_concurrency,ipsl_subsetted_data_gb
2025-01,158680,152234,6446,4.062,6237.44,23,121120,116406,4714,17,5128.26,37560,35828,1732,23,1109.18
2025-02,79552,71358,8194,10.300,7531.00,14,53050,47572,5478,14,5543.13,26502,23786,2716,10,1987.87
2025-03,99368,81388,17980,18.094,5454.52,15,99323,81349,17974,15,5454.33,45,39,6,1,0.19
2025-04,183083,177114,5969,3.260,6122.40,45,128765,124434,4331,45,4451.33,54318,52680,1638,34,1671.07
2025-05,144775,139470,5305,3.664,5531.46,17,115389,111194,4195,17,4899.90,29386,28276,1110,16,631.56
2025-06,118929,103019,15910,13.378,10100.11,19,108690,94068,14622,19,9245.87,10239,8951,1288,9,854.24
2025-07,151566,144581,6985,4.609,9807.81,34,135144,128766,6378,34,8993.93,16422,15815,607,12,813.88
2025-08,173857,165439,8418,4.842,12062.65,17,144421,137420,7001,17,10191.69,29436,28019,1417,10,1870.96
2025-09,123942,113502,10440,8.423,13734.04,19,97327,89600,7727,19,11304.86,26615,23902,2713,15,2429.18
2025-10,89066,80388,8678,9.743,5772.37,17,81728,73486,8242,17,5349.97,7338,6902,436,12,422.40
2025-11,88260,79545,8715,9.874,10963.63,18,83865,75341,8524,18,10505.03,4395,4204,191,10,458.60
2025-12,112337,106670,5667,5.045,9984.64,26,76735,73183,3552,26,6921.25,35602,33487,2115,14,3063.39
